#;详细描述;Detailed description;Ətraflı təsviri;Malgöndərən/podratçının qeydləri;Part Number;Ad eng;Ad chn;Category;Factory Adress;iSTEHSALCI OLKE;Condition;Quality;Car Brand;Car marka;Part Year
3085;车轮定位调整（外倾角）;Wheel alignment adjustment (camber);Təkər çəpliyinin tənzimlənməsi (razval);XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
3086;诊断;Diagnostics;Diaqnostika;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
3087;更换凸轮轴位置传感器，包括备件。;Replacing the camshaft sensor with a new one, including spare parts;Paylayıcı valın (raspredvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3,93502E205. .Çin, Original;3,93502E205;Camshaft;凸轮轴;Engine / Internal Parts;;China;New;Original;;;
3088;更换曲轴位置传感器，使用新的传感器和备件。;Replacing the crankshaft sensor with a new one, along with the spare part;Dirsəkli valın (kolenvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;391802B000 .Çin, Original;391802B000;Crankshaft;曲轴;Engine / Internal Parts;;China;New;Original;;;
3089;更换催化转化器传感器，包括备用零件。;Replacement of the catalyst sensor with a new one, along with the spare part;Katalizator sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;392102ECC0 .Çin, Original;392102ECC0;Catalytic converter sensor;催化转换器传感器;Engine / Emission Sensors;;China;New;Original;;;
3090;更换机油传感器，使用新的传感器和备件。;Replacing the oil sensor with a new one, along with the spare part;Yağ sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;9475037100. .Çin, Original;9475037100;Oil pressure sensor;机油压力传感器;Engine / Sensors;;China;New;Original;;;
3091;更换ABS传感器，使用新的传感器和备件。;Replacing the ABS sensor with a new one, along with the spare part;ABS sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;58930L1000 .Çin, Original;58930L1000;ABS sensor;ABS传感器;Braking System / Sensors;;China;New;Original;;;
3092;前支撑盘（aporn）更换，含备件;Front support disc (aporn) replacement, with spare part;Ön dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;51712L1000 .Çin, Original;51712L1000;Front brake disc;前刹车盘;Braking System;;China;New;Original;;;
3093;更换后支撑盘（aporn），包括备件;Replacement of the rear support disc (aporn), including spare part;Arxa dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;58411L1000 .Çin, Original;58411L1000;Rear brake disc;后刹车盘;Braking System;;China;New;Original;;;
3094;更换前后稳定杆橡胶件，包括备件;Replacement of front and rear stabilizer rubbers, including spare parts;Ön və arxa stabilizatorun rezinlərinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;54813L1000 .Çin, Original;54813L1000;Front and rear stabilizer bushings;前后稳定杆胶套;Suspension;;China;New;Original;;;
3095;更换冰箱（空调）压缩机，包括更换新压缩机和备件。;Replacement of the refrigerator (air conditioner) compressor with a new one, including spare parts;Soyuducunun (kondisionerin) kompressorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;977011U500 .Çin, Original;977011U500;Air conditioning compressor;空调压缩机;Air Conditioning;;China;New;Original;;;
3096;冰箱（空调）制冷剂（氟利昂）的填充量（克）;Filling of refrigerator (air conditioner) gas (freon) in grams;Soyuducunun (kondisionerin) qazının (freonun) qramla doldurulması;R134A  Xidmət.;R134A Xidmət;Air conditioning refrigerant (Freon);制冷剂;Air Conditioning;;China;New;Original;;;
3097;更换前减震器，包括备件。;Replacement of the front shock absorber with a new one, including the spare part;Ön amortizatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;546612W400 .Çin, Original;546612W400;Front shock absorber;前减震器;Suspension;;China;New;Original;;;
3098;更换后减震器，包括备件。;Replacement of the rear shock absorber with a new one, including the spare part;Arxa amortizatorun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;553102W350 .Çin, Original;553102W350;Rear shock absorber;后减震器;Suspension;;China;New;Original;;;
3099;更换前减震器，包括备件;Replacement of the front shock absorber with a new one, including spare parts;Ön amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;546102W000 .Çin, Original;546102W000;Front shock absorber mount;前减震器胶垫;Suspension;;China;New;Original;;;
3100;车轮定位调整（外倾角）;Wheel alignment adjustment (camber);Təkər çəpliyinin tənzimlənməsi (razval);XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
3101;诊断;Diagnostics;Diaqnostika;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
3102;更换凸轮轴位置传感器，包括备件。;Replacing the camshaft sensor with a new one, including spare parts;Paylayıcı valın (raspredvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3935025010. .Çin, Original;3935025010;Camshaft;凸轮轴;Engine / Internal Parts;;China;New;Original;;;
3103;更换曲轴位置传感器，使用新的传感器和备件。;Replacing the crankshaft sensor with a new one, along with the spare part;Dirsəkli valın (kolenvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;3918025300. .Çin, Original;3918025300;Crankshaft;曲轴;Engine / Internal Parts;;China;New;Original;;;
3104;更换催化转化器传感器，包括备用零件。;Replacement of the catalyst sensor with a new one, along with the spare part;Katalizator sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;392102G150 .Çin, Original;392102G150;Catalytic converter sensor;催化转换器传感器;Engine / Emission Sensors;;China;New;Original;;;
3105;更换机油传感器，使用新的传感器和备件。;Replacing the oil sensor with a new one, along with the spare part;Yağ sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;9475037000. .Çin, Original;9475037000;Oil pressure sensor;机油压力传感器;Engine / Sensors;;China;New;Original;;;
3106;更换ABS传感器，使用新的传感器和备件。;Replacing the ABS sensor with a new one, along with the spare part;ABS sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;956702W000 .Çin, Original;956702W000;ABS sensor;ABS传感器;Braking System / Sensors;;China;New;Original;;;
3107;前支撑盘（aporn）更换，含备件;Front support disc (aporn) replacement, with spare part;Ön dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;517127W000 .Çin, Original;517127W000;Front brake disc;前刹车盘;Braking System;;China;New;Original;;;
3108;更换后支撑盘（aporn），包括备件;Replacement of the rear support disc (aporn), including spare part;Arxa dayaq diskinin (apornunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;584112P000 .Çin, Original;584112P000;Rear brake disc;后刹车盘;Braking System;;China;New;Original;;;
3109;更换前后稳定杆橡胶件，包括备件;Replacement of front and rear stabilizer rubbers, including spare parts;Ön və arxa stabilizatorun rezinlərinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;548132W100 .Çin, Original;548132W100;Front and rear stabilizer bushings;前后稳定杆胶套;Suspension;;China;New;Original;;;
3110;右下臂置换，含备件;Lower right arm replacement, with spare part;Alt sağ qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;545012W200 .Çin, Original;545012W200;Lower right control arm;右下控制臂;Suspension;;China;New;Original;;;
3111;左下臂置换，含备件;Lower left arm replacement, with spare part;Alt sol qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;545002W200 .Çin, Original;545002W200;Lower left control arm;左下控制臂;Suspension;;China;New;Original;;;
3112;更换下部皮带轮，包括备件;Replacement of the lower pulley, including spare part;Alt şaravoyun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;545303S100 .Çin, Original;545303S100;Lower ball joint;下球头;Suspension;;China;New;Original;;;
3113;更换轮毂轴承（含备件）;Replacement of the hub bearing with a new one, including spare parts;Stupitsa diyircəkli yastığının (podşibnikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;517503S000 .Çin, Original;517503S000;Wheel hub bearing;轮毂轴承;Suspension / Wheel Assembly;;China;New;Original;;;
3114;用新的连杆（稳定杆）以及备件替换旧的连杆（稳定杆）。;Replacing the link (stabilizer bar) with a new one, along with the spare part;Linqin (stabilizatorun sırğası) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;548302W000 .Çin, Original;548302W000;Stabilizer link;稳定杆连接杆;Suspension;;China;New;Original;;;
3115;更换刹车软管，含备件;Brake hose replacement, with spare part;Əyləc şlanqlarının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;587312W000 .Çin, Original;587312W000;Brake hose;刹车软管;Braking System;;China;New;Original;;;
3116;更换前刹车支架，使用新的支架和备件。;Replacing the front brake support with a new one, along with the spare part;Ön əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;581902WA00 .Çin, Original;581902WA00;Front brake caliper;前刹车卡钳;Braking System;;China;New;Original;;;
3117;更换后刹车支架，包括备件。;Replacement of the rear brake support with a new one, including the spare part;Arxa əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;593112WA70 .Çin, Original;593112WA70;Rear brake caliper;后刹车卡钳;Braking System;;China;New;Original;;;
3118;刹车油，包括更换;Brake fluid, including replacement;Əyləc mayesi, dəyişdirilməsi ilə birlikdə;DOT 4 Bendix Türkiyə;DOT 4;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
3119;更换动力转向系统（方向盘），包括备件。;Replacement of the power steering (steering wheel) with a new one, including spare parts;Sükan hidrogücləndiricisinin (rulevoyun) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;571002W100 .Çin, Original;571002W100;Power steering rack;转向助力齿条;Steering / Power Steering;;China;New;Original;;;
3120;动力转向油，包括更换;Power steering oil, including replacement;Sükan hidrogücləndiricisinin (rulevoyun) yağı, dəyişdirilməsi ilə birlikdə;ATF 3  Bendix,Türkiyə.;ATF 3;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
3121;左下臂置换，含备件;Lower left arm replacement, with spare part;Alt sol qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;480696030. .Çin, Original;480696030;Lower left control arm;左下控制臂;Suspension;;China;New;Original;;;
3122;更换下部皮带轮，包括备件;Replacement of the lower pulley, including spare part;Alt şaravoyun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4333060030. .Çin, Original;4333060030;Lower ball joint;下球头;Suspension;;China;New;Original;;;
3123;更换轮毂轴承（含备件）;Replacement of the hub bearing with a new one, including spare parts;Stupitsa diyircəkli yastığının (podşibnikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4357060031. .Çin, Original;4357060031;Wheel hub bearing;轮毂轴承;Suspension / Wheel Assembly;;China;New;Original;;;
3124;用新的连杆（稳定杆）以及备件替换旧的连杆（稳定杆）。;Replacing the link (stabilizer bar) with a new one, along with the spare part;Linqin (stabilizatorun sırğası) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4882060071. .Çin, Original;4882060071;Stabilizer link;稳定杆连接杆;Suspension;;China;New;Original;;;
3125;更换刹车软管，含备件;Brake hose replacement, with spare part;Əyləc şlanqlarının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;9094702G84 .Çin, Original;9094702G84;Brake hose;刹车软管;Braking System;;China;New;Original;;;
3126;更换前刹车支架，使用新的支架和备件。;Replacing the front brake support with a new one, along with the spare part;Ön əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4773060280. .Çin, Original;4773060280;Front brake caliper;前刹车卡钳;Braking System;;China;New;Original;;;
3127;更换后刹车支架，包括备件。;Replacement of the rear brake support with a new one, including the spare part;Arxa əyləc supportunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;478306008. .Çin, Original;478306008;Rear brake caliper;后刹车卡钳;Braking System;;China;New;Original;;;
3128;刹车油，包括更换;Brake fluid, including replacement;Əyləc mayesi, dəyişdirilməsi ilə birlikdə;DOT 4 Bendix Türkiyə;DOT 4;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
3129;更换动力转向系统（方向盘），包括备件。;Replacement of the power steering (steering wheel) with a new one, including spare parts;Sükan hidrogücləndiricisinin (rulevoyun) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4431060510. .Çin, Original;4431060510;Power steering rack;转向助力齿条;Steering / Power Steering;;China;New;Original;;;
3130;动力转向油，包括更换;Power steering oil, including replacement;Sükan hidrogücləndiricisinin (rulevoyun) yağı, dəyişdirilməsi ilə birlikdə;ATF 3  Bendix,Türkiyə.;ATF 3;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
3131;更换水暖散热器，包括备件。;Replacing the water radiator with a new one, including spare parts;Su radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;164001602. .Çin, Original;164001602;Radiator;散热器;Engine / Cooling System;;China;New;Original;;;
3132;更换机油散热器，包括备件。;Replacing the oil radiator with a new one, including spare parts;Yağ radiatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1571031040. .Çin, Original;1571031040;Oil cooler;机油冷却器;Engine / Cooling System;;China;New;Original;;;
3133;更换机油传感器，使用新的传感器和备件。;Replacing the oil sensor with a new one, along with the spare part;Yağ sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;8944834020. .Çin, Original;8944834020;Oil pressure sensor;机油压力传感器;Engine / Sensors;;China;New;Original;;;
3134;更换催化转化器传感器，包括备用零件。;Replacement of the catalyst sensor with a new one, along with the spare part;Katalizator sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;8946535670. .Çin, Original;8946535670;Catalytic converter sensor;催化转换器传感器;Engine / Emission Sensors;;China;New;Original;;;
3135;更换曲轴位置传感器，使用新的传感器和备件。;Replacing the crankshaft sensor with a new one, along with the spare part;Dirsəkli valın (kolenvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;9091905005. .Çin, Original;9091905005;Crankshaft;曲轴;Engine / Internal Parts;;China;New;Original;;;
3136;更换凸轮轴位置传感器，包括备件。;Replacing the camshaft sensor with a new one, including spare parts;Paylayıcı valın (raspredvalın) sensorunun (datçikinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;9091905060. .Çin, Original;9091905060;Camshaft;凸轮轴;Engine / Internal Parts;;China;New;Original;;;
3137;诊断;Diagnostics;Diaqnostika;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
3138;车轮定位调整（外倾角）;Wheel alignment adjustment (camber);Təkər çəpliyinin tənzimlənməsi (razval);XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
3139;更换前减震器，包括备件;Replacement of the front shock absorber with a new one, including spare parts;Ön amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;480960070. .Çin, Original;480960070;Front shock absorber mount;前减震器胶垫;Suspension;;China;New;Original;;;
3140;更换后减震器，包括备件。;Replacement of the rear shock absorber with a new one, including the spare part;Arxa amortizatorun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4853069395. .Çin, Original;4853069395;Rear shock absorber;后减震器;Suspension;;China;New;Original;;;
3141;更换前减震器，包括备件。;Replacement of the front shock absorber with a new one, including the spare part;Ön amortizatorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4851069335. .Çin, Original;4851069335;Front shock absorber;前减震器;Suspension;;China;New;Original;;;
3142;冰箱（空调）制冷剂（氟利昂）的填充量（克）;Filling of refrigerator (air conditioner) gas (freon) in grams;Soyuducunun (kondisionerin) qazının (freonun) qramla doldurulması;R134A  Xidmət.;R134A Xidmət;Air conditioning refrigerant (Freon);制冷剂;Air Conditioning;;China;New;Original;;;
3143;更换冰箱（空调）压缩机，包括更换新压缩机和备件。;Replacement of the refrigerator (air conditioner) compressor with a new one, including spare parts;Soyuducunun (kondisionerin) kompressorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;883206A290. .Çin, Original;883206A290;Air conditioning compressor;空调压缩机;Air Conditioning;;China;New;Original;;;
3144;更换冰箱（空调）的空气过滤器，包括更换新的过滤器和备用零件。;Replacing the air filter of the refrigerator (air conditioner) with a new one, along with a spare part;Soyuducunun (kondisionerin) hava süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;8713930040. .Çin, Original;8713930040;Air conditioning air filter;空调空气滤清器;Air Conditioning;;China;New;Original;;;
3145;更换后刹车片（含备件）;Replacement of rear brake pads with new ones, including spare parts;Arxa əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;0446660160. .Çin, Original;0446660160;Rear brake caliper;后制动卡钳;Brake System;;China;New;Original;;;
3146;更换前刹车片（含备件）;Replacement of front brake pads with new ones, including spare parts;Ön əyləc qəliblərinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;0446560280. .Çin, Original;0446560280;Front brake caliper;前制动卡钳;Brake System;;China;New;Original;;;
3147;更换发动机支架，使用新的支架和备件。;Replacing the engine mount with a new one, along with the spare part;Mühərrik yastığının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1236131240. .Çin, Original;1236131240;Engine mount;发动机支架;Engine;;China;New;Original;;;
3148;更换发动机皮带（链条），使用新的皮带和备用零件。;Replacing the engine belt (chain) with a new one, along with a spare part;Mühərrik qayışının (zəncirinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1350631040. .Çin, Original;1350631040;Engine timing chain;发动机正时链条;Engine;;China;New;Original;;;
3149;用新灯泡替换旧灯泡，同时使用备用零件。;Replacing the bulb with a new one, along with the spare part;Babinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;9091902256. .Çin, Original;9091902256;Ignition coil;点火线圈;Engine;;China;New;Original;;;
3150;更换火花塞时，使用新的火花塞和备用零件。;Replacing the spark plug with a new one, along with the spare part;Alışdırma şamının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;9091901233. .Çin, Original;9091901233;Spark plug;火花塞;Engine;;China;New;Original;;;
3151;更换空气滤清器，包括一个新的和备用的。;Replacing the air filter with a new one, along with a spare part;Hava süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1780138050. .Çin, Original;1780138050;Air filter;空气滤清器;Engine;;China;New;Original;;;
3152;更换燃油滤清器，使用新的滤清器和备用零件。;Replacing the fuel filter with a new one, along with a spare part;Yanacaq süzgəcinin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;7702460300. .Çin, Original;7702460300;Fuel filter;燃油滤清器;Fuel System;;China;New;Original;;;
3153;变速箱油滤清器;Gearbox oil filter;Sürətlər qutusunun yağ filtri;3533060050. .Çin, Original;3533060050;Transmission oil filter;变速箱油滤清器;Transmission;;China;New;Original;;;
3154;变速箱油，包括更换;Gearbox oil, including change;Sürətlər qutusunun yağı, dəyişilməsi ilə birlikdə;ATF DSG  Bendix, Türkiyə.;ATF DSG;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
3155;冷却液（防冻液），包括更换;Coolant (antifreeze), including replacement;Soyutma mayesi (antifriz), dəyişdirilməsi ilə birlikdə;Antifreeze -56 3L Bendix, Türkiyə.;Antifreeze -56 3L;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
3156;发动机机油滤清器;Engine oil filter;Mühərrik yağ filtri;0415238010. .Çin, Original;0415238010;Oil filter;机油滤清器;Engine;;China;New;Original;;;
3157;发动机机油，包括更换;Engine oil, including change;Mühərrik yağı, dəyişilməsi ilə birlikdə;5x30 Bendix Türkiyə.;5x30;Türkiyə;Türkiyə;Türkiyə;;China;New;Original;;;
3158;更换上窗扇，包括备件;Replacement of the upper sash, including spare part;Üst şaravoyun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4331060050. .Çin, Original;4331060050;Upper ball joint;上球头;Suspension;;China;New;Original;;;
3159;更换左上臂，包括备件;Replacement of the upper left arm, including spare part;Üst sol qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4863060030. .Çin, Original;4863060030;Upper left control arm;左上控制臂;Suspension;;China;New;Original;;;
3160;更换右上臂，包括备件;Replacement of the upper right arm, including spare part;Üst sağ qolun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4861060060. .Çin, Original;4861060060;Upper right control arm;右上控制臂;Suspension;;China;New;Original;;;
3161;更换万向轴横梁，包括备件。;Replacement of the cardan shaft cross member with a new one, including spare parts;Kardan valının çarpazının (krestovinin) yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;0437160070. .Çin, Original;0437160070;Drive shaft cross;传动轴十字轴;Transmission / Drivetrain;;China;New;Original;;;
3162;更换右前内挡泥板，包括备用零件。;Replacement of the front right inner fender with a new one, including the spare part;Ön sağ iç qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4340360030. .Çin, Original;4340360030;Front right CV joint;右前等速万向节;Drivetrain;;China;New;Original;;;
3163;更换右前外壳，包括备用零件。;Replacement of the front right outer shell with a new one, including a spare part;Ön sağ çöl qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;434609175. .Çin, Original;434609175;Front right CV joint;右前等速万向节;Drivetrain;;China;New;Original;;;
3164;更换左前外壳，包括备用零件。;Replacement of the front left outer shell with a new one, including a spare part;Ön sol çöl qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4346069175. .Çin, Original;4346069175;Front left CV joint;左前等速万向节;Drivetrain;;China;New;Original;;;
3165;更换左前内挡泥板，使用新的内挡泥板，并附上备件。;Replacement of the front left inner fender with a new one, along with the spare part;Ön sol iç qranatın yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;4340360030. .Çin, Original;4340360030;Front left CV joint;左前等速万向节;Drivetrain;;China;New;Original;;;
3166;更换后减震器垫片（含备件）;Replacement of the rear shock absorber pad with a new one, including spare parts;Arxa amortizator yastığının yenisi ilə əvəz olunması, ehtiyat hissəsilə ilə birlikdə;48750-20050 .Çin, Original;48750-20050;Rear shock absorber mount;后减震器胶垫;Suspension;;China;New;Original;;;
3167;更换挡风玻璃（底玻璃）;Replacing the windshield (underglaze) with a new one;Ön alın şüşəsinin (podpresin) yenisi ilə əvəz olunması;5610160924. .Çin, Original;5610160924;Front windshield;前挡风玻璃;Body / Glass;;China;New;Original;;;
3168;离合器缸更换，包括备件;Clutch cylinder replacement, including spare part;Muftanın silindrinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;31410-60371.Çin, Original;31410-60371;Clutch cylinder;离合器液压缸;Clutch System;;China;New;Original;;;
3169;更换制动主缸，包括备件;Master brake cylinder replacement, including spare part;Baş əyləc (qlavnıy) silindrin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;4702560380. .Çin, Original;4702560380;Master cylinder;主缸;Braking System;;China;New;Original;;;
3170;更换雨刮片，包括备用零件。;Replacing the wiper blades with new ones, including spare parts;Şüşəsilənin fırçalarının yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;8522242110. .Çin, Original;8522242110;Windshield wiper blade;雨刷片;Accessories / Wipers;;China;New;Original;;;
3171;更换挡风玻璃雨刮电机，包括备件。;Replacing the windshield wiper motor with a new one, including spare parts;Şüşəsilənin motorunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;8511060390. .Çin, Original;8511060390;Windshield wiper motor;雨刷电机;Accessories / Wipers;;China;New;Original;;;
3172;发电机皮带更换，含备件;Dynamo belt replacement, with spare part;Dinamo qayışının dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;99367H2150. .Çin, Original;99367H2150;Alternator belt;发电机皮带;Engine / Belts;;China;New;Original;;;
3173;更换发电机电枢（绕组），包括备件;Replacement of the dynamo armature (winding), including spare part;Dinamo lövbərinin (obmotka) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2736031430. .Çin, Original;2736031430;Alternator winding;发电机绕组;Engine / Alternator;;China;New;Original;;;
3174;更换发电机继电器，包括备件;Replacement of the dynamo relay, including spare part;Dinamo relesinin dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2737031220. .Çin, Original;2737031220;Alternator relay;发电机继电器;Engine / Alternator;;China;New;Original;;;
3175;更换发电机，包括新的发电机和备用零件。;Replacement of the dynamo with a new one, along with spare parts;Dinamonun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;2706031220. .Çin, Original;2706031220;Alternator;发电机;Engine / Alternator;;China;New;Original;;;
3176;启动锚更换，包括备件;Starter anchor replacement, including spare part;Starter lövbərinin (yakorunun) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2816074070. .Çin, Original;2816074070;Starter coil;起动机绕组;Engine / Starter;;China;New;Original;;;
3177;启动器碳罐更换，含备件;Starter carbon replacement, with spare part;Starter kömürünün dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2814035060. .Çin, Original;2814035060;Starter brush;起动机碳刷;Engine / Starter;;China;New;Original;;;
3178;更换启动开关（自动），包括备件;Replacement of starter switch (automatic), including spare part;Starter qoşucusunun (avtomatının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2812066040. .Çin, Original;2812066040;Starter solenoid;起动机电磁开关;Engine / Starter;;China;New;Original;;;
3179;拆卸和维修起动传动装置（包括备件）;Dismantling and repairing the starter transmission (bendex), including spare parts;Starter intiqalının (bendeksinin) sökülüb təmir olunması, ehtiyat hissəsi ilə birlikdə;2801166020. .Çin, Original;2801166020;Starter drive;起动机单向器;Engine / Starter;;China;New;Original;;;
3180;更换起动机，包括一个新的和备用的零件。;Replacing the starter with a new one, along with a spare part;Starterin yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;2810031131. .Çin, Original;2810031131;Starter motor;起动机;Engine / Starter;;China;New;Original;;;
3181;燃油泵更换，包括备件;Fuel pump replacement, including spare part;Yanacaq nasosunun dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;2322050271. .Çin, Original;2322050271;Fuel pump;燃油泵;Fuel System;;China;New;Original;;;
3182;更换水泵，包括一个新的水泵和一个备用零件。;Replacing the water pump with a new one, along with a spare part;Su nasosunun yenisi ilə əvəz olunması, ehtiyat hissəsi ilə birlikdə;1610039545. .Çin, Original;1610039545;Water pump;水泵;Engine / Cooling System;;China;New;Original;;;
3183;冲洗燃油喷射器;Flushing fuel injectors;Yanacaq forsunkalarının yuyulması;XİDMƏT.;XİDMƏT;.;.;;;China;New;Original;;;
3184;更换供暖炉管道（软管），包括备件;Replacement of the heating furnace pipe (hose), including spare part;İstilik peçinin borusunun (şlanqının) dəyişdirilməsi, ehtiyat hissəsi ilə birlikdə;8724560D10. .Çin, Original;8724560D10;Heater hose;暖风水管;Cooling / Heating System;;China;New;Original;;;
3185;更换下部散热器管道，包括备件;Replacement of the lower radiator pipe, including spare part;Su radiatorunun alt borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə;1657231292. .Çin, Original;1657231292;Lower radiator hose;散热器下水管;Engine / Cooling System;;China;New;Original;;;
3186;更换上部水暖散热器管道，包括备件;Replacement of the upper water radiator pipe, including spare part;Su radiatorunun üst borusunun (potrubkası) əvəz olunması, ehtiyat hissəsi ilə birlikdə;1657131241. .Çin, Original;1657131241;Upper radiator hose;散热器上水管;Engine / Cooling System;;China;New;Original;;;
